V_(n),V_(n-1),I_(n),V_(n)',V_(n-1)',I_(n)'
-5108109.838077,-5114173.088195,32674.377067,-57.281320,-57.439490,0.572480
-5091948.204027,-5097992.283840,32571.006181,-57.111520,-57.281320,0.580500
-5075469.714577,-5081494.246639,32465.608560,-56.924580,-57.111520,0.586070
-5058209.572204,-5064213.595351,32355.209615,-56.766180,-56.924580,0.590530
-5040376.514646,-5046359.407525,32241.146163,-56.567260,-56.766180,0.594680
-5023043.600860,-5029005.931781,32130.281955,-56.357260,-56.567260,0.599680
-5005776.503665,-5011718.343969,32019.839171,-56.144920,-56.357260,0.605440
-4988408.269825,-4994329.486238,31908.749675,-55.936760,-56.144920,0.611340
-4971382.987612,-4977283.943435,31799.853041,-55.783450,-55.936760,0.617110
-4954012.224476,-4959892.566856,31688.746571,-55.629470,-55.783450,0.622020
-4937078.415634,-4942938.700968,31580.434750,-55.423990,-55.629470,0.626450
-4919965.053099,-4925805.019149,31470.974182,-55.235210,-55.423990,0.629900
-4902518.717976,-4908338.013058,31359.383911,-54.999980,-55.235210,0.634030
-4885663.263711,-4891462.501418,31251.572723,-54.820190,-54.999980,0.639180
-4868332.258021,-4874110.911888,31140.720004,-54.654580,-54.820190,0.643910
-4851735.323179,-4857494.283473,31034.562475,-54.477500,-54.654580,0.647780
-4834634.625463,-4840373.285857,30925.182288,-54.310820,-54.477500,0.650770
-4816845.687355,-4822563.276524,30811.400113,-54.090930,-54.310820,0.654180
-4798665.006403,-4804360.989775,30695.111894,-53.904820,-54.090930,0.658940
-4780811.519963,-4786486.335756,30580.917280,-53.691040,-53.904820,0.663750
-4764329.629014,-4769984.882318,30475.495878,-53.479440,-53.691040,0.668030
-4748509.860420,-4754146.324243,30374.309053,-53.275910,-53.479440,0.671570
-4733058.792536,-4738676.861315,30275.480110,-53.130920,-53.275910,0.674260
-4716784.472169,-4722383.207337,30171.384403,-53.002270,-53.130920,0.677390
-4699936.217429,-4705514.968165,30063.618182,-52.858340,-53.002270,0.679920
-4682245.856248,-4687803.658972,29950.465192,-52.669970,-52.858340,0.683470
-4664049.965445,-4669586.243699,29834.079724,-52.401130,-52.669970,0.685980
-4646303.487901,-4651818.676361,29720.568172,-52.161110,-52.401130,0.688730
-4628563.005756,-4634057.100586,29607.094828,-51.958840,-52.161110,0.692100
-4611913.271040,-4617387.557096,29500.598171,-51.797660,-51.958840,0.695570
-4595450.720134,-4600905.429849,29395.298297,-51.682360,-51.797660,0.698300
-4579102.761397,-4584538.130978,29290.731777,-51.493570,-51.682360,0.699890
-4562614.193418,-4568030.005388,29185.265027,-51.297500,-51.493570,0.701440
-4546169.378317,-4551565.697555,29080.078581,-51.069490,-51.297500,0.703410
-4530982.856736,-4536361.121533,28982.940177,-50.875120,-51.069490,0.706350
-4515957.198646,-4521317.603648,28886.830846,-50.701720,-50.875120,0.707230
-4501062.602403,-4506405.268403,28791.558849,-50.588930,-50.701720,0.706960
-4485782.544493,-4491107.071241,28693.820831,-50.483340,-50.588930,0.707640
-4470350.239699,-4475656.523442,28595.110351,-50.298630,-50.483340,0.709050
-4453943.681573,-4459230.527115,28490.168096,-50.079890,-50.298630,0.711920
-4436231.940609,-4441497.763420,28376.877366,-49.858320,-50.079890,0.713620
-4418500.863386,-4423745.603708,28263.462063,-49.675850,-49.858320,0.713980
-4401211.616583,-4406435.832090,28152.872263,-49.497450,-49.675850,0.714290
-4384594.794572,-4389799.299246,28046.583697,-49.304140,-49.497450,0.713980
-4368177.791634,-4373362.805858,27941.573213,-49.116970,-49.304140,0.713750
-4352299.617505,-4357465.786491,27840.009263,-48.926770,-49.116970,0.714500
-4337759.820130,-4342908.719170,27747.006498,-48.749900,-48.926770,0.715010
-4323622.611231,-4328754.722274,27656.578703,-48.580880,-48.749900,0.715300
-4309929.819827,-4315045.648204,27568.992997,-48.437560,-48.580880,0.714920
-4297086.215859,-4302186.767809,27486.838896,-48.333660,-48.437560,0.713930
-4284528.391045,-4289614.089395,27406.512860,-48.173600,-48.333660,0.714050
-4272047.231606,-4277118.113227,27326.677296,-48.011980,-48.173600,0.713850
-4258214.710323,-4263269.139917,27238.197296,-47.891700,-48.011980,0.713130
-4244139.119748,-4249176.864997,27148.162259,-47.740510,-47.891700,0.712040
-4230540.589494,-4235562.188939,27061.178695,-47.602270,-47.740510,0.710320
-4217224.437322,-4222230.281728,26976.001434,-47.408270,-47.602270,0.709380
-4204833.996450,-4209825.117419,26896.745496,-47.230710,-47.408270,0.708260
-4192614.105949,-4197590.676461,26818.579991,-47.101410,-47.230710,0.707250
-4181090.088965,-4186052.952555,26744.865130,-46.998560,-47.101410,0.705740
-4169639.185554,-4174588.447491,26671.617768,-46.908780,-46.998560,0.703040
-4157918.707434,-4162854.091976,26596.645593,-46.781630,-46.908780,0.700740
-4145850.369019,-4150771.452942,26519.448704,-46.633010,-46.781630,0.698340
-4133410.559019,-4138316.898754,26439.875530,-46.460430,-46.633010,0.696010
