file_N:27,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
5.28,-0.04293,-58.88266,-0.04234
5.29,-0.04234,-58.88726,-0.04165
5.3,-0.04165,-58.89038,-0.04142
5.3100000000000005,-0.04142,-58.87916,-0.04129
5.32,-0.04129,-58.86484,-0.0414
5.33,-0.0414,-58.85582,-0.04156
5.34,-0.04156,-58.84794,-0.0418
5.3500000000000005,-0.0418,-58.84074,-0.04205
5.36,-0.04205,-58.83369,-0.04206
5.37,-0.04206,-58.82482,-0.04201
5.38,-0.04201,-58.81556,-0.04212
5.39,-0.04212,-58.8172,-0.04226
5.4,-0.04226,-58.8212,-0.04204
5.41,-0.04204,-58.81645,-0.04174
5.42,-0.04174,-58.80981,-0.04133
5.43,-0.04133,-58.81297,-0.04089
5.44,-0.04089,-58.81826,-0.0407
5.45,-0.0407,-58.82683,-0.04056
5.46,-0.04056,-58.83611,-0.04073
5.47,-0.04073,-58.82475,-0.04097
5.48,-0.04097,-58.80893,-0.04118
5.49,-0.04118,-58.80403,-0.04139
5.5,-0.04139,-58.80148,-0.04193
5.51,-0.04193,-58.79936,-0.04253
5.5200000000000005,-0.04253,-58.79733,-0.04287
5.53,-0.04287,-58.78592,-0.04316
5.54,-0.04316,-58.77247,-0.04352
5.55,-0.04352,-58.76186,-0.04389
5.5600000000000005,-0.04389,-58.75185,-0.04389
5.57,-0.04389,-58.73814,-0.0438
5.58,-0.0438,-58.72362,-0.04354
5.59,-0.04354,-58.72318,-0.04323
5.6000000000000005,-0.04323,-58.72579,-0.04302
5.61,-0.04302,-58.72813,-0.04283
5.62,-0.04283,-58.73041,-0.04272
5.63,-0.04272,-58.73646,-0.04264
5.64,-0.04264,-58.74333,-0.04233
5.65,-0.04233,-58.75721,-0.04198
5.66,-0.04198,-58.7726,-0.04189
5.67,-0.04189,-58.77547,-0.04185
5.68,-0.04185,-58.77564,-0.04178
5.69,-0.04178,-58.77425,-0.04169
5.7,-0.04169,-58.77254,-0.04201
5.71,-0.04201,-58.75996,-0.04242
5.72,-0.04242,-58.74503,-0.04287
5.73,-0.04287,-58.73244,-0.04333
5.74,-0.04333,-58.72035,-0.04373
5.75,-0.04373,-58.72496,-0.04411
5.76,-0.04411,-58.73318,-0.0441
5.7700000000000005,-0.0441,-58.73137,-0.04399
5.78,-0.04399,-58.72739,-0.04398
5.79,-0.04398,-58.72134,-0.04398
5.8,-0.04398,-58.71483,-0.04357
5.8100000000000005,-0.04357,-58.72761,-0.04307
5.82,-0.04307,-58.74457,-0.04232
5.83,-0.04232,-58.75598,-0.04151
5.84,-0.04151,-58.76619,-0.04087
5.8500000000000005,-0.04087,-58.77497,-0.04025
5.86,-0.04025,-58.78344,-0.03989
5.87,-0.03989,-58.77663,-0.03958
5.88,-0.03958,-58.7665,-0.03922
5.89,-0.03922,-58.76478,-0.03884
5.9,-0.03884,-58.76488,-0.03888
5.91,-0.03888,-58.7641,-0.03901
5.92,-0.03901,-58.76312,-0.03917
5.93,-0.03917,-58.7604,-0.03933
5.94,-0.03933,-58.75729,-0.03977
5.95,-0.03977,-58.7462,-0.04028
5.96,-0.04028,-58.73336,-0.04076
5.97,-0.04076,-58.73132,-0.04125
5.98,-0.04125,-58.73162,-0.04177
5.99,-0.04177,-58.72957,-0.0423
6.0,-0.0423,-58.72701,-0.04266
6.01,-0.04266,-58.71891,-0.04298
6.0200000000000005,-0.04298,-58.70962,-0.04305
6.03,-0.04305,-58.70677,-0.04307
6.04,-0.04307,-58.70531,-0.04307
6.05,-0.04307,-58.69903,-0.04306
6.0600000000000005,-0.04306,-58.6917,-0.04299
6.07,-0.04299,-58.6893,-0.04291
6.08,-0.04291,-58.68798,-0.04308
